search_budget,Coverage,Total_Time
1,0.6899417562724015,3546
1,1.0,3044
1,0.9583333333333334,3402
1,0.875,2786
1,1.0,2011
1,1.0,1998
1,1.0,1741
1,1.0,2157
2,0.6899417562724015,4559
2,1.0,3046
2,0.9583333333333334,4304
2,0.875,3827
2,1.0,1869
2,1.0,2251
2,1.0,2294
2,1.0,2254
3,0.6899417562724015,5851
3,1.0,3320
3,0.9583333333333334,5266
3,0.875,4725
3,1.0,1906
3,1.0,2142
3,1.0,1826
3,1.0,2022
4,0.6899417562724015,6559
4,1.0,3072
4,0.9583333333333334,6331
4,0.875,5686
4,1.0,1928
4,1.0,1846
4,1.0,1818
4,1.0,2170
5,0.6899417562724015,7486
5,1.0,2953
5,0.9583333333333334,7329
5,0.875,6712
5,1.0,1774
5,1.0,1872
5,1.0,1661
5,1.0,2161
6,0.6899417562724015,8543
6,1.0,3115
6,0.9583333333333334,8299
6,0.875,7747
6,1.0,2072
6,1.0,1810
6,1.0,1812
6,1.0,2153
7,0.6899417562724015,9494
7,1.0,2945
7,0.9583333333333334,9266
7,0.875,8716
7,1.0,1841
7,1.0,1907
7,1.0,1693
7,1.0,1981
8,0.6899417562724015,10568
8,1.0,2808
8,0.9583333333333334,10337
8,0.875,9727
8,1.0,1899
8,1.0,1955
8,1.0,1826
8,1.0,1992
9,0.6899417562724015,11463
9,1.0,2970
9,0.9583333333333334,11340
9,0.875,10739
9,1.0,1970
9,1.0,1757
9,1.0,1713
9,1.0,1940
10,0.6899417562724015,12422
10,1.0,2958
10,0.9583333333333334,12253
10,0.875,11719
10,1.0,1820
10,1.0,1941
10,1.0,1804
10,1.0,2043
11,0.6899417562724015,13580
11,1.0,2841
11,0.9583333333333334,13302
11,0.875,12748
11,1.0,1876
11,1.0,1979
11,1.0,1638
11,1.0,2019
12,0.6899417562724015,14582
12,1.0,3956
12,0.9583333333333334,14377
12,0.875,13725
12,1.0,2043
12,1.0,2067
12,1.0,1906
12,1.0,2093
13,0.6899417562724015,15796
13,1.0,2794
13,0.9583333333333334,15520
13,0.875,14735
13,1.0,1973
13,1.0,1783
13,1.0,1809
13,1.0,2077
14,0.6899417562724015,16398
14,1.0,2907
14,0.9583333333333334,16259
14,0.875,15722
14,1.0,1977
14,1.0,1797
14,1.0,1975
14,1.0,2134
15,0.6899417562724015,18028
15,1.0,5378
15,0.9583333333333334,18126
15,0.875,16971
15,1.0,2733
15,1.0,3078
15,1.0,2552
15,1.0,3012
16,0.6899417562724015,19161
16,1.0,4325
16,0.9583333333333334,18225
16,0.875,17724
16,1.0,1836
16,1.0,1975
16,1.0,1671
16,1.0,1983
17,0.6899417562724015,19398
17,1.0,3084
17,0.9583333333333334,19296
17,0.875,18758
17,1.0,1952
17,1.0,2033
17,1.0,2091
17,1.0,2137
18,0.6899417562724015,20410
18,1.0,2681
18,0.9583333333333334,20371
18,0.875,19809
18,1.0,2085
18,1.0,1949
18,1.0,1804
18,1.0,2287
19,0.6899417562724015,21470
19,1.0,3322
19,0.9583333333333334,21378
19,0.875,20750
19,1.0,1913
19,1.0,1741
19,1.0,2013
19,1.0,2081
20,0.6899417562724015,22438
20,1.0,2910
20,0.9583333333333334,22327
20,0.875,21763
20,1.0,1970
20,1.0,1944
20,1.0,1809
20,1.0,2002
21,0.6899417562724015,23490
21,1.0,3621
21,0.9583333333333334,23418
21,0.875,22725
21,1.0,2080
21,1.0,1851
21,1.0,1610
21,1.0,1987
22,0.6899417562724015,24559
22,1.0,3044
22,0.9583333333333334,24714
22,0.875,24086
22,1.0,3439
22,1.0,2530
22,1.0,3066
22,1.0,3170
23,0.6899417562724015,26930
23,1.0,3665
23,0.9583333333333334,25662
23,0.875,25206
23,1.0,2587
23,1.0,2529
23,1.0,3150
23,1.0,2601
24,0.6899417562724015,27469
24,1.0,5842
24,0.9583333333333334,26661
24,0.875,25911
24,1.0,2270
24,1.0,3702
24,1.0,3613
24,1.0,3046
25,0.6899417562724015,28224
25,1.0,3761
25,0.9583333333333334,27460
25,0.875,27278
25,1.0,6152
25,1.0,3247
25,1.0,2624
25,1.0,2469
26,0.6899417562724015,29236
26,1.0,6645
26,0.9583333333333334,28313
26,0.875,28076
26,1.0,1983
26,1.0,2874
26,1.0,2067
26,1.0,2510
27,0.6899417562724015,29680
27,1.0,3344
27,0.9583333333333334,30289
27,0.875,29004
27,1.0,2509
27,1.0,2852
27,1.0,2195
27,1.0,2548
28,0.6899417562724015,31209
28,1.0,5281
28,0.9583333333333334,30576
28,0.875,32724
28,1.0,2120
28,1.0,1916
28,1.0,2035
28,1.0,1960
29,0.6899417562724015,31497
29,1.0,3429
29,0.9583333333333334,31386
29,0.875,30763
29,1.0,1748
29,1.0,1870
29,1.0,1810
29,1.0,2326
30,0.6899417562724015,32481
30,1.0,2970
30,0.9583333333333334,32294
30,0.875,31720
30,1.0,2039
30,1.0,2195
30,1.0,1831
30,1.0,2180
