search_budget,TARGET_CLASS,Coverage,Total_Time
2,org.jsoup.parser.Parser,0.8719799010838682,18009
4,org.jsoup.parser.Parser,0.8786363328873589,19776
6,org.jsoup.parser.Parser,0.8917875933915606,21161
8,org.jsoup.parser.Parser,0.8949388538957622,25308
10,org.jsoup.parser.Parser,0.9164107950872658,23395
12,org.jsoup.parser.Parser,0.8959892740638294,32236
14,org.jsoup.parser.Parser,0.8959892740638294,27668
16,org.jsoup.parser.Parser,0.9185116354234002,30937
18,org.jsoup.parser.Parser,0.893888433727695,34099
20,org.jsoup.parser.Parser,0.893888433727695,31842
2,org.jsoup.parser.Tag,0.8467014760231784,13279
4,org.jsoup.parser.Tag,0.9234575497397937,17968
6,org.jsoup.parser.Tag,0.92068069642421,20065
8,org.jsoup.parser.Tag,0.9410130868061055,20207
10,org.jsoup.parser.Tag,0.9410130868061055,23509
12,org.jsoup.parser.Tag,0.9333221391399101,24314
14,org.jsoup.parser.Tag,0.9422507105684816,25711
16,org.jsoup.parser.Tag,0.9410130868061055,29099
18,org.jsoup.parser.Tag,0.9422507105684816,29458
20,org.jsoup.parser.Tag,0.9320845153775339,32435
2,org.jsoup.parser.Tag,0.8464405484327234,13715
2,org.jsoup.parser.Tag,0.8905751377523223,13422
4,org.jsoup.parser.Tag,0.9268324145371978,16449
6,org.jsoup.parser.Tag,0.9343725593079774,19353
8,org.jsoup.parser.Tag,0.9271704210269224,19944
10,org.jsoup.parser.Tag,0.9357609859657692,24044
12,org.jsoup.parser.Tag,0.9357609859657692,25938
14,org.jsoup.parser.Tag,0.9320845153775339,27286
16,org.jsoup.parser.Tag,0.9397754630437292,29233
18,org.jsoup.parser.Tag,0.9385742399802464,31447
20,org.jsoup.parser.Tag,0.9422507105684816,31443
2,org.jsoup.parser.HtmlTreeBuilder,0.0,6284
4,org.jsoup.parser.HtmlTreeBuilder,0.20892206346463835,13118
6,org.jsoup.parser.HtmlTreeBuilder,0.29498503820065214,22617
8,org.jsoup.parser.HtmlTreeBuilder,0.5246581103340999,38066
10,org.jsoup.parser.HtmlTreeBuilder,0.5641717453501811,45157
12,org.jsoup.parser.HtmlTreeBuilder,0.5223588357149679,42661
14,org.jsoup.parser.HtmlTreeBuilder,0.5082529993177239,44294
16,org.jsoup.parser.HtmlTreeBuilder,0.5656363728542511,51432
18,org.jsoup.parser.HtmlTreeBuilder,0.571075625376524,53705
20,org.jsoup.parser.HtmlTreeBuilder,0.6377590664397899,63951
