seconds,class,coverage,time
1,tutorial.Stack,0.9382440476190476,3621
1,tutorial.Stack,0.9382440476190476,4024
1,tutorial.Stack,0.9382440476190476,3743
1,tutorial.Stack,0.9382440476190476,3502
1,tutorial.Stack,0.9382440476190476,3682
1,tutorial.Stack,0.9382440476190476,3497
2,tutorial.Stack,0.9382440476190476,4563
3,tutorial.Stack,0.9382440476190476,5467
4,tutorial.Stack,0.990625,7086
5,tutorial.Stack,0.990625,7551
6,tutorial.Stack,0.990625,9060
7,tutorial.Stack,0.990625,9332
8,tutorial.Stack,0.990625,10735
9,tutorial.Stack,0.990625,11561
10,tutorial.Stack,0.990625,12665
11,tutorial.Stack,0.990625,13626
12,tutorial.Stack,0.990625,14769
13,tutorial.Stack,0.990625,15471
14,tutorial.Stack,0.990625,16571
15,tutorial.Stack,0.9382440476190476,17262
16,tutorial.Stack,0.990625,18484
17,tutorial.Stack,0.990625,19543
18,tutorial.Stack,0.990625,20526
19,tutorial.Stack,0.990625,21586
20,tutorial.Stack,0.990625,22557
21,tutorial.Stack,0.990625,23512
22,tutorial.Stack,0.990625,24562
23,tutorial.Stack,0.990625,25557
24,tutorial.Stack,0.990625,26787
25,tutorial.Stack,0.990625,27574
26,tutorial.Stack,0.990625,28578
27,tutorial.Stack,0.990625,29407
28,tutorial.Stack,0.990625,30550
29,tutorial.Stack,0.990625,31549
30,tutorial.Stack,0.990625,32460
